mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
180	180	180	180a	1433/2	4.0	-1	2/2	1	0						181
181	181	181	181a	1441/2	4.0	-1	2/2	1	0						182
182	182	182	182a	1449/2	4.0	-1	2/2	1	0						183
183	183	183	183a	1457/2	4.0	-1	2/2	1	0				line		184
184	184	184	184a	1465/2	4.0	-1	2/2	1	0						185
185	185	185	185a	1473/2	4.0	-1	2/2	1	0						186
186	186	186	186a	1481/2	4.0	-1	2/2	1	0						187
187	187	187	187a	1489/2	4.0	-1	2/2	1	0						188
188	188	188	188a	1497/2	4.0	-1	2/2	1	0				line		189
189	189	189	189a	1505/2	4.0	-1	2/2	1	0						190
190	190	190	190a	1513/2	4.0	-1	2/2	1	0						191
191	191	191	191a	1521/2	4.0	-1	2/2	1	0						192
192	192	192	192a	1529/2	4.0	-1	2/2	1	0			double	line		193
193	193	193	193a	1537/2	4.0	-1	2/2	1	0						194
194	194	194	194a	1545/2	4.0	-1	2/2	1	0						195
195	195	195	195a	1553/2	4.0	-1	2/2	1	0						196
196	196	196	196a	1561/2	4.0	-1	2/2	1	0				line		197
197	197	197	197a	1569/2	4.0	-1	2/2	1	0						198
198	198	198	198a	1577/2	4.0	-1	2/2	1	0						199
199	199	199	199a	1585/2	4.0	-1	2/2	1	0						200
200	200	200	200a	1593/2	4.0	-1	2/2	1	0				line		201
201	201	201	201a	1601/2	4.0	-1	2/2	1	0						202
202	202	202	202a	1609/2	4.0	-1	2/2	1	0						203
203	203	203	203a	1617/2	4.0	-1	2/2	1	0						204
204	204	204	204a	1625/2	4.0	-1	2/2	1	0				line		205
205	205	205	205a	1633/2	4.0	-1	2/2	1	0						206
206	206	206	206a	1641/2	4.0	-1	2/2	1	0						207
207	207	207	207a	1649/2	4.0	-1	2/2	1	0						208
208	208	208	208a	1657/2	4.0	-1	2/2	1	0				line		209
209	209	209	209a	1665/2	4.0	-1	2/2	1	0						210
210	210	210	210a	1673/2	4.0	-1	2/2	1	0						211
211	211	211	211a	1681/2	4.0	-1	2/2	1	0						212
212	212	212	212a	1689/2	4.0	-1	2/2	1	0						213
213	213	213	213a	1697/2	4.0	-1	2/2	1	0				line		214
214	214	214	214a	1705/2	4.0	-1	2/2	1	0						215
215	215	215	215a	1713/2	4.0	-1	2/2	1	0						216
216	216	216	216a	1721/2	4.0	-1	2/2	1	0						217
217	217	217	217a	1729/2	4.0	-1	2/2	1	0						218
218	218	218	218a	1737/2	4.0	-1	2/2	1	0				line		219
219	219	219	219a	1745/2	4.0	-1	2/2	1	0						220
220	220	220	220a	1753/2	4.0	-1	2/2	1	0						221
221	221	221	221a	1761/2	4.0	-1	2/2	1	0						222
222	222	222	222a	1769/2	4.0	-1	2/2	1	0						223
223	223	223	223a	1777/2	4.0	-1	2/2	1	0						224
224	224	224	224a	1785/2	4.0	-1	2/2	1	0				line		225
225	225	225	225a	1793/2	4.0	-1	2/2	1	0						226
226	226	226	226a	1801/2	4.0	-1	2/2	1	0						227
227	227	227	227a	1809/2	4.0	-1	2/2	1	0						228
228	228	228	228a	1817/2	4.0	-1	2/2	1	0						229
229	229	229	229a	1825/2	4.0	-1	2/2	1	0						230
