mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
263	263	2097/2	4.0	-1	2/2	1	0						264
264	264	2105/2	4.0	-1	2/2	1	0						265
265	265	2113/2	4.0	-1	2/2	1	0						266
266	266	2121/2	4.0	-1	2/2	1	0						267
267	267	2129/2	4.0	-1	2/2	1	0				line		268
268	268	2137/2	4.0	-1	2/2	1	0						269
269	269	2145/2	4.0	-1	2/2	1	0						270
270	270	2153/2	4.0	-1	2/2	1	0						271
271	271	2161/2	4.0	-1	2/2	1	0						272
272	272	2169/2	4.0	-1	2/2	1	0				line		273
273	273	2177/2	4.0	-1	2/2	1	0						274
274	274	2185/2	4.0	-1	2/2	1	0						275
275	275	2193/2	4.0	-1	2/2	1	0						276
276	276	2201/2	4.0	-1	2/2	1	0						277
277	277	2209/2	4.0	-1	2/2	1	0				line		278
278	278	2217/2	4.0	-1	2/2	1	0						279
279	279	2225/2	4.0	-1	2/2	1	0						280
280	280	2233/2	4.0	-1	2/2	1	0						281
281	281	2241/2	4.0	-1	2/2	1	0						282
282	282	2249/2	4.0	-1	2/2	1	0				line		283
283	283	2257/2	4.0	-1	2/2	1	0						284
284	284	2265/2	4.0	-1	2/2	1	0						285
285	285	2273/2	4.0	-1	2/2	1	0						286
286	286	2281/2	4.0	-1	2/2	1	0						287
287	287	2289/2	4.0	-1	2/2	1	0				line		288
288	288	2297/2	4.0	-1	2/2	1	0						289
289	289	2305/2	4.0	-1	2/2	1	0						290
290	290	2313/2	4.0	-1	2/2	1	0						291
291	291	2321/2	4.0	-1	2/2	1	0						292
292	292	2329/2	4.0	-1	2/2	1	0				line		293
293	293	2337/2	4.0	-1	2/2	1	0						294
294	294	2345/2	4.0	-1	2/2	1	0						295
295	295	2353/2	4.0	-1	2/2	1	0						296
296	296	2361/2	4.0	-1	2/2	1	0				line		297
297	297	2369/2	4.0	-1	2/2	1	0						298
298	298	2377/2	4.0	-1	2/2	1	0						299
299	299	2385/2	4.0	-1	2/2	1	0						300
300	300	2393/2	4.0	-1	2/2	1	0						301
301	301	2401/2	4.0	-1	2/2	1	0						302
302	302	2409/2	4.0	-1	2/2	1	0						303
303	303	2417/2	4.0	-1	2/2	1	0						304
304	304	2425/2	4.0	-1	2/2	1	0						305
305	305	2433/2	4.0	-1	2/2	1	0						306
306	306	2441/2	4.0	-1	2/2	1	0				line		307
307	307	2449/2	4.0	-1	2/2	1	0						308
308	308	2457/2	4.0	-1	2/2	1	0						309
309	309	2465/2	4.0	-1	2/2	1	0						310
310	310	2473/2	4.0	-1	2/2	1	0						311
311	311	2481/2	4.0	-1	2/2	1	0						312
312	312	2489/2	4.0	-1	2/2	1	0						313
313	313	2497/2	4.0	-1	2/2	1	0						314
314	314	2505/2	4.0	-1	2/2	1	0				line		315
315	315	2513/2	4.0	-1	2/2	1	0						316
316	316	2521/2	4.0	-1	2/2	1	0						317
317	317	2529/2	4.0	-1	2/2	1	0						318
318	318	2537/2	4.0	-1	2/2	1	0						319
319	319	2545/2	4.0	-1	2/2	1	0						320
320	320	2553/2	4.0	-1	2/2	1	0				line		321
321	321	2561/2	4.0	-1	2/2	1	0						322
322	322	2569/2	4.0	-1	2/2	1	0						323
323	323	2577/2	4.0	-1	2/2	1	0						324
324	324	2585/2	4.0	-1	2/2	1	0						325
325	325	2593/2	4.0	-1	2/2	1	0						326
326	326	2601/2	4.0	-1	2/2	1	0				line		327
327	327	2609/2	4.0	-1	2/2	1	0						328
328	328	2617/2	4.0	-1	2/2	1	0						329
329	329	2625/2	4.0	-1	2/2	1	0						330
330	330	2633/2	4.0	-1	2/2	1	0						331
331	331	2641/2	4.0	-1	2/2	1	0						332
332	332	2649/2	4.0	-1	2/2	1	0						333
333	333	2657/2	4.0	-1	2/2	1	0				line		334
334	334	2665/2	4.0	-1	2/2	1	0						335
335	335	2673/2	4.0	-1	2/2	1	0						336
336	336	2681/2	4.0	-1	2/2	1	0						337
337	337	2689/2	6.0	-1	2/2	3/2	0						338
338	338	2701/2	4.0	-1	2/2	1	0				line		339
339	339	2709/2	4.0	-1	2/2	1	0						340
340	340	2717/2	4.0	-1	2/2	1	0						341
341	341	2725/2	4.0	-1	2/2	1	0						342
342	342	2733/2	4.0	-1	2/2	1	0						343
343	343	2741/2	4.0	-1	2/2	1	0						344
344	344	2749/2	4.0	-1	2/2	1	0				line		345
345	345	2757/2	4.0	-1	2/2	1	0						346
346	346	2765/2	4.0	-1	2/2	1	0						347
347	347	2773/2	4.0	-1	2/2	1	0						348
348	348	2781/2	4.0	-1	2/2	1	0						349
349	349	2789/2	4.0	-1	2/2	1	0						350
350	350	2797/2	4.0	-1	2/2	1	0				line		351
351	351	2805/2	4.0	-1	2/2	1	0						352
352	352	2813/2	4.0	-1	2/2	1	0			double			353
353	353	2821/2	4.0	-1	2/2	1	0						354
354	354	2829/2	4.0	-1	2/2	1	0				line		355
355	355	2837/2	4.0	-1	2/2	1	0						356
