mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	GradualTempoChange	GradualTempoChange_(poco a poco accelerando)	GradualTempoChange_(sempre accelerando)	GradualTempoChange_ritard.	GradualTempoChange_[poco a poco accel.]	GradualTempoChange_[sempre accel.]	Ottava:8vb	Trill:trill	diminuendo_line	HairPin:3_dimin.	HairPin:3_diminuendo	HairPin:3_dim.)	HairPin:3_dim. sempre	HairPin:3_sempre dim.	HairPin:3_(dim.)	decrescendo_hairpin	crescendo_hairpin	crescendo_line	HairPin:2_crescendo	HairPin:2_poco a poco cresc.	HairPin:2_sempre cresc.	HairPin:2_poco a poco crescendo	HairPin:2_(cresc.)	HairPin:2_crescendo sempre	HairPin:2_(sempre cresc.)	HairPin:2_poco a poco accel. et cresc.
7	7	7	7a	20	20	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	161								8
7	7	7	7a	41/2	41/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	162								8
7	7	7	7a	18	18	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	163			articStaccatissimoAbove
7	7	7	7a	19	19	0.5	1/4	1/4	Chord	3/4	4	1	1/8	1/8	1	164								9
7	7	7	7a	39/2	39/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	165								9
7	7	7	7a	20	20	0.5	1/2	1/2	Chord	3/4	4	1	1/8	1/8	1	166								9
7	7	7	7a	41/2	41/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8	1/8	1	167								9
7	7	7	7a	18	18	1.0	0	0	Chord	3/4	5	1	1/4	1/4	1	168			articStaccatissimoBelow
7	7	7	7a	19	19	0.5	1/4	1/4	Chord	3/4	5	1	1/8	1/8	1	169								10
7	7	7	7a	39/2	39/2	0.5	3/8	3/8	Chord	3/4	5	1	1/8	1/8	1	170								10
7	7	7	7a	20	20	0.5	1/2	1/2	Chord	3/4	5	1	1/8	1/8	1	171								10
7	7	7	7a	41/2	41/2	0.5	5/8	5/8	Chord	3/4	5	1	1/8	1/8	1	172								10
7	7	7	7a	18	18	1.0	0	0	Chord	3/4	6	1	1/4	1/4	1	173			articStaccatissimoBelow
7	7	7	7a	19	19	0.5	1/4	1/4	Chord	3/4	6	1	1/8	1/8	1	174								11
7	7	7	7a	39/2	39/2	0.5	3/8	3/8	Chord	3/4	6	1	1/8	1/8	1	175								11
7	7	7	7a	20	20	0.5	1/2	1/2	Chord	3/4	6	1	1/8	1/8	1	176								11
7	7	7	7a	41/2	41/2	0.5	5/8	5/8	Chord	3/4	6	1	1/8	1/8	1	177								11
7	7	7	7a	18	18	1.0	0	0	Chord	3/4	21	1	1/4	1/4	1	178			articStaccatissimoBelow
7	7	7	7a	19	19	1.0	1/4	1/4	Chord	3/4	21	1	1/4	1/4	1	179			articStaccatissimoBelow
7	7	7	7a	20	20	1.0	1/2	1/2	Chord	3/4	21	1	1/4	1/4	1	180			articStaccatissimoBelow
7	7	7	7a	18	18	1.0	0	0	Chord	3/4	22	1	1/4	1/4	1	181			articStaccatissimoBelow
7	7	7	7a	19	19	1.0	1/4	1/4	Chord	3/4	22	1	1/4	1/4	1	182			articStaccatissimoBelow
7	7	7	7a	20	20	1.0	1/2	1/2	Chord	3/4	22	1	1/4	1/4	1	183			articStaccatissimoBelow
7	7	7	7a	18	18	1.0	0	0	Chord	3/4	23	1	1/4	1/4	1	184			articStaccatissimoAbove
7	7	7	7a	19	19	1.0	1/4	1/4	Chord	3/4	23	1	1/4	1/4	1	185			articStaccatissimoAbove
7	7	7	7a	20	20	1.0	1/2	1/2	Chord	3/4	23	1	1/4	1/4	1	186			articStaccatissimoAbove
7	7	7	7a	18	18	1.0	0	0	Chord	3/4	24	1	1/4	1/4	1	187			articStaccatissimoAbove
7	7	7	7a	19	19	1.0	1/4	1/4	Chord	3/4	24	1	1/4	1/4	1	188			articStaccatissimoAbove
7	7	7	7a	20	20	1.0	1/2	1/2	Chord	3/4	24	1	1/4	1/4	1	189			articStaccatissimoAbove
7	7	7	7a	18	18	1.0	0	0	Chord	3/4	25	1	1/4	1/4	1	190			articStaccatissimoAbove
7	7	7	7a	19	19	1.0	1/4	1/4	Chord	3/4	25	1	1/4	1/4	1	191			articStaccatissimoAbove
7	7	7	7a	20	20	1.0	1/2	1/2	Chord	3/4	25	1	1/4	1/4	1	192			articStaccatissimoAbove
8	8	8	8a	21	21	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	193			articStaccatissimoAbove
