mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
27	27	27	27a	52	52	2.0	0	0	2/4	22	1	1/2	1/2	1		-4	68	Ab4	4	146
27	27	27	27a	52	52	2.0	0	0	2/4	21	1	1/2	1/2	1		-7	71	Cb5	5	145
27	27	27	27a	53	53	0.5	1/4	1/4	2/4	25	1	1/8	1/8	1		-7	35	Cb2	2	152
27	27	27	27a	53	53	0.5	1/4	1/4	2/4	24	1	1/8	1/8	1		-7	47	Cb3	3	149
27	27	27	27a	107/2	107/2	0.5	3/8	3/8	2/4	25	1	1/8	1/8	1		-5	37	Db2	2	153
27	27	27	27a	107/2	107/2	0.5	3/8	3/8	2/4	24	1	1/8	1/8	1		-5	49	Db3	3	150
28	28	28	28a	54	54	1.0	0	0	2/4	25	1	1/4	1/4	1		-3	39	Eb2	2	158
28	28	28	28a	54	54	1.0	0	0	2/4	24	1	1/4	1/4	1		-3	51	Eb3	3	157
28	28	28	28a	54	54	1.0	0	0	2/4	23	1	1/4	1/4	1		-2	58	Bb3	3	156
28	28	28	28a	54	54	2.0	0	0	2/4	22	1	1/2	1/2	1	1	1	67	G4	4	155
28	28	28	28a	54	54	2.0	0	0	2/4	21	1	1/2	1/2	1	1	-2	70	Bb4	4	154
29	29	29	29a	56	56	1.0	0	0	2/4	25	1	1/4	1/4	1		3	33	A1	1	164
29	29	29	29a	56	56	1.0	0	0	2/4	24	1	1/4	1/4	1		3	45	A2	2	161
29	29	29	29a	56	56	2.0	0	0	2/4	22	1	1/2	1/2	1	-1	1	67	G4	4	160
29	29	29	29a	56	56	2.0	0	0	2/4	21	1	1/2	1/2	1	-1	-2	70	Bb4	4	159
29	29	29	29a	57	57	0.5	1/4	1/4	2/4	25	1	1/8	1/8	1		-2	34	Bb1	1	165
29	29	29	29a	57	57	0.5	1/4	1/4	2/4	24	1	1/8	1/8	1		-2	46	Bb2	2	162
29	29	29	29a	115/2	115/2	0.5	3/8	3/8	2/4	25	1	1/8	1/8	1		0	36	C2	2	166
29	29	29	29a	115/2	115/2	0.5	3/8	3/8	2/4	24	1	1/8	1/8	1		0	48	C3	3	163
30	30	30	30a	58	58	1.0	0	0	2/4	25	1	1/4	1/4	1		2	38	D2	2	170
30	30	30	30a	58	58	1.0	0	0	2/4	24	1	1/4	1/4	1		2	50	D3	3	169
30	30	30	30a	58	58	2.0	0	0	2/4	22	1	1/2	1/2	1		6	66	F#4	4	168
30	30	30	30a	58	58	2.0	0	0	2/4	21	1	1/2	1/2	1	1	3	69	A4	4	167
31	31	31	31a	60	60	1.0	0	0	2/4	25	1	1/4	1/4	1		3	33	A1	1	176
31	31	31	31a	60	60	1.0	0	0	2/4	24	1	1/4	1/4	1		3	45	A2	2	173
31	31	31	31a	60	60	2.0	0	0	2/4	22	1	1/2	1/2	1		1	67	G4	4	172
31	31	31	31a	60	60	2.0	0	0	2/4	21	1	1/2	1/2	1	-1	3	69	A4	4	171
31	31	31	31a	61	61	0.5	1/4	1/4	2/4	25	1	1/8	1/8	1		5	35	B1	1	177
31	31	31	31a	61	61	0.5	1/4	1/4	2/4	24	1	1/8	1/8	1		5	47	B2	2	174
31	31	31	31a	123/2	123/2	0.5	3/8	3/8	2/4	25	1	1/8	1/8	1		7	37	C#2	2	178
31	31	31	31a	123/2	123/2	0.5	3/8	3/8	2/4	24	1	1/8	1/8	1		7	49	C#3	3	175
32	32	32	32a	62	62	1.0	0	0	2/4	25	1	1/4	1/4	1		2	38	D2	2	182
32	32	32	32a	62	62	1.0	0	0	2/4	24	1	1/4	1/4	1		2	50	D3	3	181
32	32	32	32a	62	62	1.0	0	0	2/4	22	1	1/4	1/4	1		6	66	F#4	4	180
32	32	32	32a	62	62	1.0	0	0	2/4	21	1	1/4	1/4	1		3	69	A4	4	179
33	33	33	33a	64	64	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	185
33	33	33	33a	64	64	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	183
33	33	33	33a	65	65	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	186
33	33	33	33a	65	65	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	184
34	34	34	34a	66	66	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	191
34	34	34	34a	66	66	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	189
34	34	34	34a	67	67	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	192
34	34	34	34a	67	67	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	190
34	34	34	34a	67	67	1.0	1/4	1/4	2/4	22	2	1/4	1/4	1	1	5	71	B4	4	188
34	34	34	34a	67	67	1.0	1/4	1/4	2/4	22	1	1/4	1/4	1	1	2	74	D5	5	187
35	35	35	35a	68	68	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	205
35	35	35	35a	68	68	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	203
35	35	35	35a	68	68	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	199
35	35	35	35a	68	68	1.0	0	0	2/4	22	2	1/4	1/4	1	-1	5	71	B4	4	197
35	35	35	35a	68	68	1.0	0	0	2/4	22	1	1/4	1/4	1	-1	2	74	D5	5	195
35	35	35	35a	68	68	2.0	0	0	2/4	3	1	1/2	1/2	1	1	2	74	D5	5	193
35	35	35	35a	68	68	2.0	0	0	2/4	4	1	1/2	1/2	1	1	2	74	D5	5	194
35	35	35	35a	137/2	137/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	200
35	35	35	35a	69	69	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	206
