mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	Trill:trill	crescendo_line	HairPin:2_sempre cresc.	HairPin:2_cresc. sempre	HairPin:2_sempre crescendo	HairPin:2_(cresc.)	diminuendo_line	HairPin:3_sempre diminuendo	HairPin:3_(dim.)	HairPin:3_dimin.	crescendo_hairpin	decrescendo_hairpin
21	21	40	40	0.0	0	0	Dynamic	2/4	22	1	0					ppp																			
21	21	40	40	2.0	0	0	Chord	2/4	22	1	1/2	1/2	1	110			articAccentAbove																		
21	21	40	40	0.0	0	0	Dynamic	2/4	23	1	0					ppp																			
21	21	40	40	2.0	0	0	Chord	2/4	23	1	1/2	1/2	1	111			articAccentAbove																		
22	22	42	42	2.0	0	0	Chord	2/4	21	1	1/2	1/2	1	112																					
22	22	42	42	2.0	0	0	Chord	2/4	22	1	1/2	1/2	1	113																					
22	22	42	42	2.0	0	0	Chord	2/4	23	1	1/2	1/2	1	114																					
22	22	42	42	0.0	0	0	Dynamic	2/4	24	1	0					other-dynamics																			
22	22	43	43	1.0	1/4	1/4	Chord	2/4	24	1	1/4	1/4	1	115	a		articAccentAbove																		
22	22	42	42	0.0	0	0	Dynamic	2/4	25	1	0					other-dynamics																			
22	22	43	43	1.0	1/4	1/4	Chord	2/4	25	1	1/4	1/4	1	116			articAccentAbove																		
23	23	44	44	2.0	0	0	Chord	2/4	21	1	1/2	1/2	1	117																					
23	23	44	44	2.0	0	0	Chord	2/4	22	1	1/2	1/2	1	118																					
23	23	44	44	2.0	0	0	Chord	2/4	23	1	1/2	1/2	1	119																					
23	23	44	44	1.0	0	0	Chord	2/4	24	1	1/4	1/4	1	120			articStaccatissimoAbove																		
23	23	45	45	1.0	1/4	1/4	Chord	2/4	24	1	1/4	1/4	1	121			articStaccatissimoAbove																		
23	23	44	44	1.0	0	0	Chord	2/4	25	1	1/4	1/4	1	122			articStaccatissimoAbove																		
23	23	45	45	1.0	1/4	1/4	Chord	2/4	25	1	1/4	1/4	1	123			articStaccatissimoAbove																		
24	24	46	46	2.0	0	0	Chord	2/4	21	1	1/2	1/2	1	124																					
24	24	46	46	2.0	0	0	Chord	2/4	22	1	1/2	1/2	1	125																					
24	24	46	46	2.0	0	0	Chord	2/4	23	1	1/2	1/2	1	126																					
24	24	46	46	1.0	0	0	Chord	2/4	24	1	1/4	1/4	1	127			articStaccatissimoAbove																		
24	24	47	47	1.0	1/4	1/4	Chord	2/4	24	1	1/4	1/4	1	128			articStaccatissimoAbove																		
24	24	46	46	1.0	0	0	Chord	2/4	25	1	1/4	1/4	1	129			articStaccatissimoAbove																		
24	24	47	47	1.0	1/4	1/4	Chord	2/4	25	1	1/4	1/4	1	130			articStaccatissimoAbove																		
25	25	48	48	2.0	0	0	Chord	2/4	21	1	1/2	1/2	1	131																					
25	25	48	48	2.0	0	0	Chord	2/4	22	1	1/2	1/2	1	132																					
25	25	48	48	2.0	0	0	Chord	2/4	23	1	1/2	1/2	1	133																					
25	25	48	48	1.0	0	0	Chord	2/4	24	1	1/4	1/4	1	134									14												
25	25	49	49	0.5	1/4	1/4	Chord	2/4	24	1	1/8	1/8	1	135									14												
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	24	1	1/8	1/8	1	136									14												
25	25	48	48	1.0	0	0	Chord	2/4	25	1	1/4	1/4	1	137									15												
25	25	49	49	0.5	1/4	1/4	Chord	2/4	25	1	1/8	1/8	1	138									15												
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	25	1	1/8	1/8	1	139									15												
26	26	50	50	0.0	0	0	Spanner	2/4	21	1	0																			3					
26	26	50	50	2.0	0	0	Chord	2/4	21	1	1/2	1/2	1	140									16							3					
26	26	50	50	0.0	0	0	Spanner	2/4	22	1	0																			4					
26	26	50	50	2.0	0	0	Chord	2/4	22	1	1/2	1/2	1	141									17							4					
26	26	50	50	0.0	0	0	Spanner	2/4	23	1	0																			5					
26	26	50	50	2.0	0	0	Chord	2/4	23	1	1/2	1/2	1	142									18							5					
26	26	50	50	1.0	0	0	Chord	2/4	24	1	1/4	1/4	1	143			articStaccatissimoAbove																		
26	26	50	50	1.0	0	0	Chord	2/4	25	1	1/4	1/4	1	144			articStaccatissimoAbove																		
27	27	52	52	2.0	0	0	Chord	2/4	21	1	1/2	1/2	1	145																3					
27	27	52	52	2.0	0	0	Chord	2/4	22	1	1/2	1/2	1	146																4					
27	27	52	52	2.0	0	0	Chord	2/4	23	1	1/2	1/2	1	147									18							5					
27	27	52	52	0.0	0	0	Spanner	2/4	24	1	0																			6					
27	27	52	52	1.0	0	0	Chord	2/4	24	1	1/4	1/4	1	148									19							6					
27	27	53	53	0.5	1/4	1/4	Chord	2/4	24	1	1/8	1/8	1	149									19							6					
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	24	1	1/8	1/8	1	150									19							6					
27	27	52	52	0.0	0	0	Spanner	2/4	25	1	0																			7					
27	27	52	52	1.0	0	0	Chord	2/4	25	1	1/4	1/4	1	151									20							7					
27	27	53	53	0.5	1/4	1/4	Chord	2/4	25	1	1/8	1/8	1	152									20							7					
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	25	1	1/8	1/8	1	153									20							7					
28	28	54	54	2.0	0	0	Chord	2/4	21	1	1/2	1/2	1	154																3					
28	28	54	54	2.0	0	0	Chord	2/4	22	1	1/2	1/2	1	155																4					
28	28	54	54	1.0	0	0	Chord	2/4	23	1	1/4	1/4	1	156																5					
28	28	55	55	0.0	1/4	1/4	Spanner	2/4	23	1	0																								
28	28	54	54	1.0	0	0	Chord	2/4	24	1	1/4	1/4	1	157			articStaccatissimoAbove													6					
28	28	54	54	1.0	0	0	Chord	2/4	25	1	1/4	1/4	1	158			articStaccatissimoAbove													7					
29	29	56	56	2.0	0	0	Chord	2/4	21	1	1/2	1/2	1	159																3					
29	29	56	56	2.0	0	0	Chord	2/4	22	1	1/2	1/2	1	160																4					
29	29	56	56	1.0	0	0	Chord	2/4	24	1	1/4	1/4	1	161									21							6					
29	29	57	57	0.5	1/4	1/4	Chord	2/4	24	1	1/8	1/8	1	162									21							6					
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	24	1	1/8	1/8	1	163									21							6					
29	29	56	56	1.0	0	0	Chord	2/4	25	1	1/4	1/4	1	164									22							7					
29	29	57	57	0.5	1/4	1/4	Chord	2/4	25	1	1/8	1/8	1	165									22							7					
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	25	1	1/8	1/8	1	166									22							7					
30	30	58	58	0.0	0	0	Dynamic	2/4	21	1	0					ppp																			
30	30	58	58	0.0	0	0	Spanner	2/4	21	1	0																								
30	30	58	58	2.0	0	0	Chord	2/4	21	1	1/2	1/2	1	167																					
30	30	58	58	0.0	0	0	Dynamic	2/4	22	1	0					ppp																			
30	30	58	58	0.0	0	0	Spanner	2/4	22	1	0																								
