mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
18	16	27	16a	35	23	0.5	0	0	3/8	2	1	1/8		1/8	1		2	50	D3	3	114
18	16	27	16a	35	23	0.5	0	0	3/8	1	1	1/8		1/8	1		3	69	A4	4	112
18	16	27	16a	71/2	47/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		1	43	G2	2	115
18	16	27	16a	71/2	47/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	G4	4	113
10	8	28	16a	36	12	0.5	0	1/4	3/8	2	1	1/8		1/8	1		0	60	C4	4	63
10	8	28	16a	36	12	0.5	0	1/4	3/8	1	1	1/8		1/8	1		1	67	G4	4	62
11	9	29	9b	73/2	25/2	0.0	0	0	3/8	1	1	0	grace4	1/8	1		1	67	G4	4	64
11	9	29	9b	73/2	25/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	69
11	9	29	9b	73/2	25/2	0.5	0	0	3/8	1	1	1/8		1/8	1		-4	68	Ab4	4	65
11	9	29	9b	37	13	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		1	67	G4	4	66
11	9	29	9b	37	13	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-2	58	Bb3	3	70
11	9	29	9b	37	13	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-1	65	F4	4	67
11	9	29	9b	75/2	27/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	71
11	9	29	9b	75/2	27/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	68
12	10	30	10b	38	14	0.75	0	0	3/8	2	1	3/16		1/8	3/2		-3	51	Eb3	3	75
12	10	30	10b	38	14	0.5	0	0	3/8	1	1	1/8		1/8	1		1	67	G4	4	72
