mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
47	43	92	43a	125	65	1.5	0	0	3/8	1	1	V/III	c	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
48	44	93	44a	253/2	133/2	0.5	0	0	3/8	1	1	III	c	i		III	III							M	1	1	-3, 1, -2		-3	-3
48	44	93	44a	127	67	0.5	1/8	1/8	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
48	44	93	44a	255/2	135/2	0.5	1/4	1/4	3/8	1	1	i7	c	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
49	45	94	45a	128	68	0.5	0	0	3/8	1	1	IV7	c	i		IV7	IV		7					Mm7	1	1	-1, 3, 0, -3		-1	-1
49	45	94	45a	257/2	137/2	0.5	1/8	1/8	3/8	1	1	ii6	c	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
49	45	94	45a	129	69	0.5	1/4	1/4	3/8	1	1	ii7	c	i		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2
50	46	95	46a	259/2	139/2	1.0	0	0	3/8	1	1	V|HC}	c	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
50	46	95	46a	521/4	281/4	0.0	3/16	3/16	3/8	1	1	{	c	i									{		1	1				
50	46	95	46a	261/2	141/2	0.5	1/4	1/4	3/8	1	1	V65	c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
51	47	96	47a	131	71	0.5	0	0	3/8	1	1	V7	c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
51	47	96	47a	263/2	143/2	1.0	1/8	1/8	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
52	48	97	48a	265/2	145/2	1.5	0	0	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
53	49	98	49a	134	74	0.5	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
53	49	98	49a	269/2	149/2	0.5	1/8	1/8	3/8	1	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
53	49	98	49a	135	75	0.5	1/4	1/4	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
