mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
47	43	131/2	131/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-2	58	Bb3	3	330
47	43	263/4	263/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-4	44	Ab2	2	335
47	43	66	66	0.25	1/4	1/4	3/8	2	1	1/16		1/16	1		1	43	G2	2	336
47	43	66	66	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	331
47	43	265/4	265/4	0.25	5/16	5/16	3/8	2	1	1/16		1/16	1		-1	41	F2	2	337
48	44	133/2	133/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-3	39	Eb2	2	344
48	44	133/2	133/2	0.25	0	0	3/8	1	1	1/16		1/16	1		1	67	G4	4	338
48	44	267/4	267/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		-1	65	F4	4	339
48	44	67	67	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	345
48	44	67	67	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		1	67	G4	4	340
48	44	269/4	269/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		3	69	A4	4	341
48	44	135/2	135/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	346
48	44	135/2	135/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		-2	70	Bb4	4	342
48	44	271/4	271/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		0	72	C5	5	343
49	45	68	68	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	41	F2	2	353
49	45	68	68	0.25	0	0	3/8	1	1	1/16		1/16	1		3	69	A4	4	347
49	45	273/4	273/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		1	67	G4	4	348
49	45	137/2	137/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	354
49	45	137/2	137/2	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		3	69	A4	4	349
49	45	275/4	275/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		5	71	B4	4	350
49	45	69	69	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		2	50	D3	3	355
49	45	69	69	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		0	72	C5	5	351
49	45	277/4	277/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	352
