mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
20	17	99/2	99/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	173												
20	17	51	51	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	174	ornamentShortTrill											
20	17	99/2	99/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	175												
20	17	50	50	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	176												
20	17	101/2	101/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	177												
20	17	51	51	0.0	3/8	3/8	FiguredBass	6/8	2	1	0												1/8	6			
20	17	51	51	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	178												33
20	17	103/2	103/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	179												33
20	17	52	52	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	180												
21	18	105/2	105/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	181												
21	18	53	53	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	182												
21	18	107/2	107/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	183												
21	18	54	54	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	184												
21	18	109/2	109/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	185												
21	18	55	55	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	186												
21	18	105/2	105/2	0.0	0	0	FiguredBass	6/8	2	1	0												1/8	6			
21	18	105/2	105/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	187												34
21	18	53	53	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	188												34
21	18	107/2	107/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	189												
21	18	54	54	0.0	3/8	3/8	FiguredBass	6/8	2	1	0												1/8	h6			
21	18	54	54	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	190												
21	18	109/2	109/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	191												
21	18	55	55	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	192												
22	19	111/2	111/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	193												
22	19	56	56	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	194												
22	19	113/2	113/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	195												
22	19	57	57	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16after	1/16	1	196												
22	19	57	57	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16after	1/16	1	197												
22	19	57	57	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	198	ornamentShortTrill											
22	19	111/2	111/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	199												35
22	19	113/2	113/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	200												
22	19	57	57	0.0	3/8	3/8	FiguredBass	6/8	2	1	0												1/4	5	4		
22	19	57	57	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	201												
22	19	58	58	0.0	5/8	5/8	FiguredBass	6/8	2	1	0												1/8	h3			
22	19	58	58	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	202												
23	20	117/2	117/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	203												
23	20	60	60	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	204												
23	20	117/2	117/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	205												
23	20	59	59	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	206												
23	20	119/2	119/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	207												
23	20	60	60	0.0	3/8	3/8	FiguredBass	6/8	2	1	0												1/8	6			
23	20	60	60	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	208												36
23	20	121/2	121/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	209	ornamentShortTrill											36
23	20	61	61	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	210												
24	21	123/2	123/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	211												
24	21	63	63	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	212												
