mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
11	9	55/2	55/2	0.25	1/2	1/2	6/8	1	1	1/16		1/16	1		-2	82	Bb5	5	96
11	9	111/4	111/4	0.25	9/16	9/16	6/8	1	1	1/16		1/16	1		3	81	A5	5	97
11	9	28	28	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		0	48	C3	3	105
11	9	28	28	0.25	5/8	5/8	6/8	1	1	1/16		1/16	1		1	79	G5	5	98
11	9	113/4	113/4	0.25	11/16	11/16	6/8	1	1	1/16		1/16	1		3	81	A5	5	99
12	10	57/2	57/2	1.0	0	0	6/8	2	1	1/4		1/4	1		-1	41	F2	2	110
12	10	57/2	57/2	0.5	0	0	6/8	1	1	1/8		1/8	1		-1	77	F5	5	106
12	10	29	29	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		4	76	E5	5	107
12	10	59/2	59/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		2	74	D5	5	108
12	10	30	30	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	111
12	10	30	30	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		0	72	C5	5	109
12	10	61/2	61/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		1	55	G3	3	112
12	10	31	31	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		-1	53	F3	3	113
13	11	63/2	63/2	0.5	0	0	6/8	2	1	1/8		1/8	1		4	52	E3	3	116
13	11	63/2	63/2	1.0	0	0	6/8	1	1	1/4		1/4	1		0	72	C5	5	114
13	11	32	32	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		2	50	D3	3	117
13	11	65/2	65/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		0	48	C3	3	118
13	11	33	33	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	119
13	11	33	33	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		0	72	C5	5	115
13	11	67/2	67/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		1	55	G3	3	120
13	11	34	34	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		-1	53	F3	3	121
14	12	69/2	69/2	0.5	0	0	6/8	2	1	1/8		1/8	1		4	52	E3	3	126
14	12	69/2	69/2	1.0	0	0	6/8	1	1	1/4		1/4	1		0	72	C5	5	122
14	12	35	35	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		2	50	D3	3	127
14	12	71/2	71/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		0	48	C3	3	128
14	12	36	36	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	129
14	12	36	36	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	123
14	12	73/2	73/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		1	55	G3	3	130
14	12	73/2	73/2	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		4	76	E5	5	124
14	12	37	37	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		-1	53	F3	3	131
14	12	37	37	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	125
15	13	75/2	75/2	0.5	0	0	6/8	2	1	1/8		1/8	1		4	52	E3	3	140
15	13	75/2	75/2	0.5	0	0	6/8	1	1	1/8		1/8	1		0	72	C5	5	132
15	13	38	38	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		2	50	D3	3	141
15	13	38	38	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	133
15	13	77/2	77/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		0	48	C3	3	142
15	13	77/2	77/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		4	76	E5	5	134
15	13	39	39	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		2	50	D3	3	143
15	13	39	39	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	135
15	13	79/2	79/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		-2	46	Bb2	2	144
15	13	79/2	79/2	0.25	1/2	1/2	6/8	1	1	1/16		1/16	1		-2	82	Bb5	5	136
15	13	159/4	159/4	0.25	9/16	9/16	6/8	1	1	1/16		1/16	1		3	81	A5	5	137
15	13	40	40	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		0	48	C3	3	145
15	13	40	40	0.25	5/8	5/8	6/8	1	1	1/16		1/16	1		1	79	G5	5	138
15	13	161/4	161/4	0.25	11/16	11/16	6/8	1	1	1/16		1/16	1		3	81	A5	5	139
16	14	81/2	81/2	1.0	0	0	6/8	2	1	1/4		1/4	1		-1	41	F2	2	147
16	14	81/2	81/2	1.0	0	0	6/8	1	1	1/4		1/4	1		-1	77	F5	5	146
17	14	42	42	0.5	0	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	149
17	14	42	42	1.0	0	3/8	6/8	1	1	1/4		1/4	1		-1	65	F4	4	148
17	14	85/2	85/2	0.5	1/8	1/2	6/8	2	1	1/8		1/8	1		-2	58	Bb3	3	150
17	14	43	43	0.5	1/4	5/8	6/8	2	1	1/8		1/8	1		1	55	G3	3	151
18	15	87/2	87/2	0.5	0	0	6/8	2	1	1/8		1/8	1		3	57	A3	3	156
18	15	87/2	87/2	1.0	0	0	6/8	1	1	1/4		1/4	1		-1	65	F4	4	152
18	15	44	44	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		-2	58	Bb3	3	157
18	15	89/2	89/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		1	55	G3	3	158
18	15	45	45	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	159
18	15	45	45	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		0	72	C5	5	153
18	15	91/2	91/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		-2	58	Bb3	3	160
18	15	91/2	91/2	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		2	74	D5	5	154
18	15	46	46	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		1	55	G3	3	161
18	15	46	46	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		-2	70	Bb4	4	155
19	16	93/2	93/2	1.0	0	0	6/8	2	1	1/4		1/4	1		3	57	A3	3	168
19	16	93/2	93/2	0.25	0	0	6/8	1	1	1/16		1/16	1		0	72	C5	5	162
