mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
101	93	167	93b	617	4.0	-3	2/2	1	0							102, 103
103	94	168	94b	621	4.0	-3	2/2	1	0	2		1				104
104	95	169	95a	625	4.0	-3	2/2	1	0							105
105	96	170	96a	629	4.0	-3	2/2	1	0							106
106	97	171	97a	633	4.0	-3	2/2	1	0							107
107	98	172	98a	637	4.0	-3	2/2	1	0							108
108	99	173	99a	641	4.0	-3	2/2	1	0							109
109	100	174	100a	645	4.0	-3	2/2	1	0							110
110	101	175	101a	649	4.0	-3	2/2	1	0							111
111	102	176	102a	653	4.0	-3	2/2	1	0							112
112	103	177	103a	657	4.0	-3	2/2	1	0							113
113	104	178	104a	661	4.0	-3	2/2	1	0							114
114	105	179	105a	665	4.0	-3	2/2	1	0							115
115	106	180	106a	669	4.0	-3	2/2	1	0							116
116	107	181	107a	673	4.0	-3	2/2	1	0							117
117	108	182	108a	677	4.0	-3	2/2	1	0							118
118	109	183	109a	681	4.0	-3	2/2	1	0							119
119	110	184	110a	685	4.0	-3	2/2	1	0							120
120	111	185	111a	689	4.0	-3	2/2	1	0							121
121	112	186	112a	693	4.0	-3	2/2	1	0							122
122	113	187	113a	697	4.0	-3	2/2	1	0							123
123	114	188	114a	701	4.0	-3	2/2	1	0							124
124	115	189	115a	705	4.0	-3	2/2	1	0							125
125	116	190	116a	709	4.0	-3	2/2	1	0							126
126	117	191	117a	713	4.0	-3	2/2	1	0							127
127	118	192	118a	717	4.0	-3	2/2	1	0							128
128	119	193	119a	721	4.0	-3	2/2	1	0							129
129	120	194	120a	725	4.0	-3	2/2	1	0							130
130	121	195	121a	729	4.0	-3	2/2	1	0							131
131	122	196	122a	733	4.0	-3	2/2	1	0							132
132	123	197	123a	737	4.0	-3	2/2	1	0							133
133	124	198	124a	741	4.0	-3	2/2	1	0							134
134	125	199	125a	745	4.0	-3	2/2	1	0							135
135	126	200	126a	749	4.0	-3	2/2	1	0							136
136	127	201	127a	753	4.0	-3	2/2	1	0							137
137	128	202	128a	757	4.0	-3	2/2	1	0							138
138	129	203	129a	761	4.0	-3	2/2	1	0							139
139	130	204	130a	765	4.0	-3	2/2	1	0							140
140	131	205	131a	769	4.0	-3	2/2	1	0							141
