mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
163	156	228	156a	861	621	1.0	0	0	2/2	1	1		VI6	c	i		VI6		VI		6						M	1	1	0, -3, -4		-4	0
163	156	228	156a	862	622	1.0	1/4	1/4	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
163	156	228	156a	863	623	1.0	1/2	1/2	2/2	1	1		#viio6	c	i		#viio6		#vii	o	6						o	1	1	2, -1, 5		5	2
163	156	228	156a	864	624	1.0	3/4	3/4	2/2	1	1		#viio43/V	c	i		#viio43/V		#vii	o	43		V				o7	1	1	0, -3, 6, 3		6	0
164	157	229	157a	865	625	2.0	0	0	2/2	1	1		V6	c	i		V6		V		6						M	1	1	5, 2, 1		1	5
164	157	229	157a	867	627	2.0	1/2	1/2	2/2	1	1		#viio7	c	i		#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
165	158	230	158a	869	629	1.0	0	0	2/2	1	1		VI6	c	i		VI6		VI		6						M	1	1	0, -3, -4		-4	0
165	158	230	158a	870	630	1.0	1/4	1/4	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
165	158	230	158a	871	631	1.0	1/2	1/2	2/2	1	1		viio6	c	i		viio6		vii	o	6						o	1	1	-5, -8, -2		-2	-5
165	158	230	158a	872	632	1.0	3/4	3/4	2/2	1	1		#viio43/V	c	i		#viio43/V		#vii	o	43		V				o7	1	1	0, -3, 6, 3		6	0
166	159	231	159a	873	633	1.0	0	0	2/2	1	1		V]	c	i		V		V					]			M	1	1	1, 5, 2		1	1
166	159	231	159a	874	634	1.0	1/4	1/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
166	159	231	159a	875	635	6.0	1/2	1/2	2/2	1	1		#viio2	c	i		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
168	161	233	161a	881	641	2.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
168	161	233	161a	883	643	14.0	1/2	1/2	2/2	1	1		#viio7\\	c	i		#viio7		#vii	o	7					\\	o7	1	1	5, 2, -1, -4		5	5
172	165	237	165a	897	657	8.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
174	167	239	167a	905	665	1.0	0	0	2/2	1	1		V65	c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
174	167	239	167a	906	666	1.0	1/4	1/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
174	167	239	167a	907	667	1.0	1/2	1/2	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
174	167	239	167a	908	668	1.0	3/4	3/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
175	168	240	168a	909	669	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
176	169	241	169a	913	673	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
177	170	242	170a	917	677	2.0	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
177	170	242	170a	919	679	2.0	1/2	1/2	2/2	1	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
178	171	243	171a	921	681	1.0	0	0	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
178	171	243	171a	922	682	1.0	1/4	1/4	2/2	1	1		.Ger6	c	v		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
178	171	243	171a	923	683	1.0	1/2	1/2	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
178	171	243	171a	924	684	1.0	3/4	3/4	2/2	1	1		V	c	v		V		V								M	1	1	1, 5, 2		1	1
179	172	244	172a	925	685	4.0	0	0	2/2	1	1		i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
180	173	245	173a	929	689	3.0	0	0	2/2	1	1		i.V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
180	173	245	173a	932	692	1.0	3/4	3/4	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
181	174	246	174a	933	693	3.0	0	0	2/2	1	1		V7/III	c	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
181	174	246	174a	936	696	1.0	3/4	3/4	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
182	175	247	175a	937	697	2.0	0	0	2/2	1	1		iv6(2)	c	i		iv6(2)		iv		6	2					m	1	1	-4, 0, 1		-1	-4
182	175	247	175a	939	699	1.0	1/2	1/2	2/2	1	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
182	175	247	175a	940	700	1.0	3/4	3/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
183	176	248	176a	941	701	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
184	177	249	177a	945	705	5.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
185	178	250	178a	950	710	1.0	1/4	1/4	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
185	178	250	178a	951	711	1.0	1/2	1/2	2/2	1	1		iv65	c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
185	178	250	178a	952	712	1.0	3/4	3/4	2/2	1	1		V64/iv	c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1
186	179	251	179a	953	713	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
186	179	251	179a	954	714	1.0	1/4	1/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
186	179	251	179a	955	715	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
186	179	251	179a	956	716	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
187	180	252	180a	957	717	3.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
187	180	252	180a	960	720	1.0	3/4	3/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
188	181	253	181a	961	721	3.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
188	181	253	181a	964	724	1.0	3/4	3/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
189	182	254	182a	965	725	3.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
189	182	254	182a	968	728	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
190	183	255	183a	969	729	1.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
190	183	255	183a	970	730	1.0	1/4	1/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
190	183	255	183a	971	731	1.0	1/2	1/2	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
190	183	255	183a	972	732	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
191	184	256	184a	973	733	2.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
191	184	256	184a	975	735	2.0	1/2	1/2	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
192	185	257	185a	977	737	2.0	0	0	2/2	1	1		iv6	c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
192	185	257	185a	979	739	2.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
193	186	258	186a	981	741	4.0	0	0	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
194	187	259	187a	985	745	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
195	188	260	188a	989	749	2.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
195	188	260	188a	991	751	2.0	1/2	1/2	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
196	189	261	189a	993	753	2.0	0	0	2/2	1	1		iv6	c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
196	189	261	189a	995	755	2.0	1/2	1/2	2/2	1	1		i64	c	i		i64		i		64						m	1	1	1, 0, -3		0	1
197	190	262	190a	997	757	0.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
197	190	262	190a	997	757	4.0	0	0	2/2	1	1		iv7	c	i		iv7		iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
198	191	263	191a	1001	761	4.0	0	0	2/2	1	1		.Ger6	c	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
199	192	264	192a	1005	765	4.0	0	0	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
200	193	265	193a	1009	769	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
201	194	266	194a	1013	773	3.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
201	194	266	194a	1016	776	1.0	3/4	3/4	2/2	1	1		i64	c	i		i64		i		64						m	1	1	1, 0, -3		0	1
202	195	267	195a	1017	777	3.0	0	0	2/2	1	1		V43	c	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2
202	195	267	195a	1020	780	1.0	3/4	3/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
203	196	268	196a	1021	781	3.0	0	0	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
203	196	268	196a	1024	784	1.0	3/4	3/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
204	197	269	197a	1025	785	1.0	0	0	2/2	1	1		ii%65	c	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
204	197	269	197a	1026	786	1.0	1/4	1/4	2/2	1	1		ii%7	c	i		ii%7		ii	%	7						%7	1	1	2, -1, -4, 0		2	2
204	197	269	197a	1027	787	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
204	197	269	197a	1028	788	1.0	3/4	3/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
205	198	270	198a	1029	789	4.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
206	199	271	199a	1033	793	1.0	0	0	2/2	1	1		V43	c	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2
206	199	271	199a	1034	794	1.0	1/4	1/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
206	199	271	199a	1035	795	1.0	1/2	1/2	2/2	1	1		V43	c	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2
206	199	271	199a	1036	796	1.0	3/4	3/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
207	200	272	200a	1037	797	8.0	0	0	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
209	202	274	202a	1045	805	8.0	0	0	2/2	1	1		ii%65	c	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
211	204	276	204a	1053	813	4.0	0	0	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
212	205	277	205a	1057	817	4.0	0	0	2/2	1	1		V7\\	c	i		V7		V		7					\\	Mm7	1	1	1, 5, 2, -1		1	1
213	206	278	206a	1061	821	4.0	0	0	2/2	1	1		I[I	c	i	I	I		I								M	1	1	0, 4, 1		0	0
214	207	279	207a	1065	825	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
214	207	279	207a	1066	826	1.0	1/4	1/4	2/2	1	1		I	c	i		I		I								M	1	1	0, 4, 1		0	0
214	207	279	207a	1067	827	1.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
214	207	279	207a	1068	828	5.0	3/4	3/4	2/2	1	1		I	c	i		I		I								M	1	1	0, 4, 1		0	0
216	209	281	209a	1073	833	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
216	209	281	209a	1074	834	1.0	1/4	1/4	2/2	1	1		I	c	i		I		I								M	1	1	0, 4, 1		0	0
216	209	281	209a	1075	835	1.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
216	209	281	209a	1076	836	17.0	3/4	3/4	2/2	1	1		I	c	i		I		I								M	1	1	0, 4, 1		0	0
221	214	286	214a	1093	853	4.0	0	0	2/2	1	1		I]	c	i		I		I					]			M	1	1	0, 4, 1		0	0
222	215	287	215a	1097	857	12.0	0	0	2/2	1	1		I	c	i		I		I								M	1	1	0, 4, 1		0	0
225	218	290	218a	1109	869	7.0	0	0	2/2	1	1		I\\	c	i		I		I							\\	M	1	1	0, 4, 1		0	0
