mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
43	43	70	43a	249	4.0	-3	2/2	1	0							44, 45
44	44	71	44a	253	3.0	-3	2/2	3/4	0	1					end	28
28	28	72	28b	256	1.0	-3	2/2	1/4	3/4						start	29
29	29	73	29b	257	4.0	-3	2/2	1	0							30
30	30	74	30b	261	4.0	-3	2/2	1	0							31
31	31	75	31b	265	4.0	-3	2/2	1	0							32
32	32	76	32b	269	4.0	-3	2/2	1	0							33
33	33	77	33b	273	4.0	-3	2/2	1	0							34
34	34	78	34b	277	4.0	-3	2/2	1	0							35
35	35	79	35b	281	4.0	-3	2/2	1	0							36
36	36	80	36b	285	4.0	-3	2/2	1	0							37
37	37	81	37b	289	4.0	-3	2/2	1	0							38
38	38	82	38b	293	4.0	-3	2/2	1	0							39
39	39	83	39b	297	4.0	-3	2/2	1	0							40
40	40	84	40b	301	4.0	-3	2/2	1	0							41
41	41	85	41b	305	4.0	-3	2/2	1	0							42
42	42	86	42b	309	4.0	-3	2/2	1	0							43
43	43	87	43b	313	4.0	-3	2/2	1	0							44, 45
45	45	88	45a	317	4.0	-3	2/2	1	0	2						46
46	46	89	46a	321	4.0	-3	2/2	1	0							47
47	47	90	47a	325	4.0	-3	2/2	1	0							48
48	48	91	48a	329	4.0	-3	2/2	1	0							49
49	49	92	49a	333	4.0	-3	2/2	1	0							50
50	50	93	50a	337	4.0	-3	2/2	1	0							51
51	51	94	51a	341	4.0	-3	2/2	1	0							52
52	52	95	52a	345	4.0	-3	2/2	1	0							53
53	53	96	53a	349	4.0	-3	2/2	1	0							54
54	54	97	54a	353	4.0	-3	2/2	1	0							55
55	55	98	55a	357	4.0	-3	2/2	1	0							56
56	56	99	56a	361	4.0	-3	2/2	1	0							57
57	57	100	57a	365	4.0	-3	2/2	1	0							58
58	58	101	58a	369	4.0	-3	2/2	1	0							59
59	59	102	59a	373	4.0	-3	2/2	1	0							60
60	60	103	60a	377	4.0	-3	2/2	1	0							61
61	61	104	61a	381	4.0	-3	2/2	1	0							62
62	62	105	62a	385	4.0	-3	2/2	1	0							63
63	63	106	63a	389	4.0	-3	2/2	1	0							64
64	64	107	64a	393	4.0	-3	2/2	1	0							65
65	65	108	65a	397	4.0	-3	2/2	1	0							66
66	66	109	66a	401	4.0	-3	2/2	1	0							67
67	67	110	67a	405	4.0	-3	2/2	1	0							68
68	68	111	68a	409	4.0	-3	2/2	1	0							69
69	69	112	69a	413	4.0	-3	2/2	1	0							70
70	70	113	70a	417	4.0	-3	2/2	1	0							71
71	71	114	71a	421	4.0	-3	2/2	1	0							72
72	72	115	72a	425	4.0	-3	2/2	1	0							73
73	73	116	73a	429	4.0	-3	2/2	1	0							74
74	74	117	74a	433	4.0	-3	2/2	1	0							75
75	75	118	75a	437	4.0	-3	2/2	1	0							76
76	76	119	76a	441	4.0	-3	2/2	1	0							77
77	77	120	77a	445	3.5	-3	2/2	7/8	0							78
78	78	121	78a	897/2	0.5	0	2/2	1/8	7/8						start	79
79	79	122	79a	449	4.0	0	2/2	1	0							80
80	80	123	80a	453	4.0	0	2/2	1	0							81
81	81	124	81a	457	4.0	0	2/2	1	0							82
82	82	125	82a	461	4.0	0	2/2	1	0							83
83	83	126	83a	465	4.0	0	2/2	1	0							84
84	84	127	84a	469	3.5	0	2/2	7/8	0						end	78, 85
78	78	128	78b	945/2	0.5	0	2/2	1/8	7/8						start	79
79	79	129	79b	473	4.0	0	2/2	1	0							80
80	80	130	80b	477	4.0	0	2/2	1	0							81
81	81	131	81b	481	4.0	0	2/2	1	0							82
82	82	132	82b	485	4.0	0	2/2	1	0							83
83	83	133	83b	489	4.0	0	2/2	1	0							84
84	84	134	84b	493	3.5	0	2/2	7/8	0						end	78, 85
85	85	135	85a	993/2	0.5	0	2/2	1/8	7/8						start	86
86	86	136	86a	497	4.0	0	2/2	1	0							87
87	87	137	87a	501	4.0	0	2/2	1	0							88
88	88	138	88a	505	4.0	0	2/2	1	0							89
89	89	139	89a	509	4.0	0	2/2	1	0							90
90	90	140	90a	513	4.0	0	2/2	1	0							91
91	91	141	91a	517	4.0	0	2/2	1	0							92
92	92	142	92a	521	4.0	0	2/2	1	0							93, 94
93	93	143	93a	525	3.5	0	2/2	7/8	0	1					end	85
85	85	144	85b	1057/2	0.5	0	2/2	1/8	7/8						start	86
86	86	145	86b	529	4.0	0	2/2	1	0							87
87	87	146	87b	533	4.0	0	2/2	1	0							88
88	88	147	88b	537	4.0	0	2/2	1	0							89
89	89	148	89b	541	4.0	0	2/2	1	0							90
90	90	149	90b	545	4.0	0	2/2	1	0							91
91	91	150	91b	549	4.0	0	2/2	1	0							92
92	92	151	92b	553	4.0	0	2/2	1	0							93, 94
94	94	152	94a	557	4.0	0	2/2	1	0	2						95
95	95	153	95a	561	4.0	-3	2/2	1	0						start	96
96	96	154	96a	565	4.0	-3	2/2	1	0							97
97	97	155	97a	569	4.0	-3	2/2	1	0							98
98	98	156	98a	573	4.0	-3	2/2	1	0							99
99	99	157	99a	577	4.0	-3	2/2	1	0							100
100	100	158	100a	581	4.0	-3	2/2	1	0							101
101	101	159	101a	585	4.0	-3	2/2	1	0							102, 103
102	102	160	102a	589	4.0	-3	2/2	1	0	1					end	95
95	95	161	95b	593	4.0	-3	2/2	1	0						start	96
96	96	162	96b	597	4.0	-3	2/2	1	0							97
97	97	163	97b	601	4.0	-3	2/2	1	0							98
98	98	164	98b	605	4.0	-3	2/2	1	0							99
99	99	165	99b	609	4.0	-3	2/2	1	0							100
100	100	166	100b	613	4.0	-3	2/2	1	0							101
101	101	167	101b	617	4.0	-3	2/2	1	0							102, 103
103	103	168	103a	621	4.0	-3	2/2	1	0	2						104
104	104	169	104a	625	4.0	-3	2/2	1	0							105
105	105	170	105a	629	4.0	-3	2/2	1	0							106
106	106	171	106a	633	4.0	-3	2/2	1	0							107
